,title,text,date,topics,sentiment,tickers
36,ETH 2.0 Update: $22 Million Worth of ETH Being Staked Everyday,"ETH 2.0 rollout saw phase 0 of its multi-year roll-out commence on December 1st with the launch of the Beacon chain. The new proof-of-stake-based ethereum network has been the talk of the crypto town as many see it as a revolution in the field of blockchain scalability, once fully functional the ETH 2.0 network would The post ETH 2.0 Update: $22 Million Worth of ETH Being Staked Everyday appeared first on Coingape.","Wed, 09 Dec 2020 07:48:11 -0500",[],Positive,['ETH']
37,"Ethereum 2.0 Deposit Contract Receiving Approximately 40,000 ETH Per Day","One of the key components of this advancement to the network was the adoption of a new verification method, with Ethereum moving from Proof-of-Work (PoW) to Proof-of-Stake (PoS). This change means that users will now have to stake their Ethereum on the network as collateral to validate.","Wed, 09 Dec 2020 07:55:40 -0500",['ethereum'],Positive,['ETH']
38,"Baseline Protocol unveils Ethereum interoperability, deployment will take time","Blockchain interoperability has been a long-time dream for the Ethereum network, and ConsenSys eyes the latest release to deliver it.","Wed, 09 Dec 2020 10:00:00 -0500",['ethereum'],Neutral,['ETH']
39,"Polkadot, Steem, Ethereum Classic Price Analysis: 9 December","Bitcoin dominance rose marginally to 64%, meaning that the altcoin market was dropping in value slightly faster than Bitcoin over the past few hours. Polkadot and Steem showed strong bearish momentum as they lost important levels of support to the bears in the last few hours.","Wed, 09 Dec 2020 12:00:50 -0500","['ethereum', 'tanalysis']",Neutral,"['DOT', 'ETH']"
40,"Ethereum Price Analysis: ETH Plunges 7% In 24-Hours, Will Critical Support Hold?","ETH is trapped inside a symmetrical triangle, however, the overall trend is still Bullish.","Wed, 09 Dec 2020 14:20:09 -0500",[],Negative,['ETH']
41,Ethereum Could Explode Higher if Bulls Defend This Newly Formed Support,"Ethereum could be on the cusp of seeing an explosive move higher in the coming few days This notion seems rather surprising, given the weakness seen across the entire market as of late, but its price has been able to hold above one crucial level This level could act as a base for further growth in the days and weeks ahead, and ultimately put the control of its near-term trend back into the hands of […]","Wed, 09 Dec 2020 15:00:15 -0500",['ethereum'],Positive,['ETH']
42,Would the STABLE Act Make Running an Ethereum Node Illegal?,"The STABLE Act regulating the burgeoning stablecoin industry is misplaced and overly broad, says our columnist.","Wed, 09 Dec 2020 15:20:17 -0500",['ethereum'],Neutral,['ETH']
43,"Ethereum Price Aims For $1,000 As ETH2 Deposit Contract Reaches 1.2 Million Coins","Ethereum price is currently hovering at $570 after a brief pullback from which the bulls managed to recover quickly. There are several on-chain metrics in favor of Ethereum, but the price hasn't reacted just yet.","Wed, 09 Dec 2020 15:28:24 -0500",['ethereum'],Positive,['ETH']
44,"Price analysis 12/9: BTC, ETH, XRP, LTC, BCH, LINK, DOT, ADA, BNB, XLM","Bitcoin and several altcoins have recovered sharply from their intraday lows, a signal that there is healthy demand at lower levels.","Wed, 09 Dec 2020 16:00:00 -0500",['tanalysis'],Neutral,"['ADA', 'BCH', 'BNB', 'BTC', 'DOT', 'ETH', 'LINK', 'LTC', 'XLM', 'XRP']"
45,Ethereum price targets $590 after bulls vigorously buy the ETH dip,Bulls swooped in to buy Ethereum as it dropped to a critical support level and now they've set their sights on $590.,"Wed, 09 Dec 2020 17:28:33 -0500",['ethereum'],Positive,['ETH']
46,Analyst: $500 Likely Remains a Macro Bottom for Ethereum as Uptrend Falters,"Ethereum has been closely tracking the price action seen by Bitcoin and other major altcoins, but it has been able to dodge seeing any intense decline overnight Although it did plunge as low as $530, the cryptocurrency's support at this level sparked a “V-shaped” recovery that allowed it to surge up towards the upper-$500 region […]","Wed, 09 Dec 2020 18:00:58 -0500",['ethereum'],Positive,['ETH']
47,Ethereum Defends Pivotal Technical Level Despite Yesterday's Drop,"Ethereum and Bitcoin underwent a strong drop the other day after days of consolidation. Ethereum slipped from the $590 region to lows around $550, marking a strong decline for the cryptocurrency that had benefited so much from the ETH2 launch.","Wed, 09 Dec 2020 19:00:15 -0500","['ethereum', 'tanalysis']",Positive,['ETH']
48,3iQ Ethereum Fund About to List on Toronto Stock Exchange,Canadian institutional digital asset manager 3iQ is about to close an initial public offering for its Ethereum fund on the Toronto Stock Exchange.,"Thu, 10 Dec 2020 00:14:20 -0500",['ethereum'],Positive,['ETH']
49,"TA: Ethereum Remains Vulnerable, Why Close Above 100 SMA Is The Key",Ethereum declined towards the $530 zone before recovering above $550 against the US Dollar. ETH price is now facing a strong resistance near the $580 level and the 100 hourly SMA.,"Thu, 10 Dec 2020 00:28:41 -0500","['ethereum', 'tanalysis']",Negative,['ETH']
